Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Complete Mechanical Design,NORTHERN CLIMATE ENGINEERING,$0.00,2011-04-01,C00007777,2,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$8,641.00",2011-03-14,C00007713,1,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$6,522.00",2011-03-14,C00007713,2,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$11,880.00",2011-03-14,C00007713,3,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$14,304.00",2011-03-14,C00007713,4,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$2,667.00",2011-03-14,C00007713,5,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$1,949.52",2011-03-14,C00007713,6,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$4,837.00",2011-03-14,C00007713,7,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$8,488.61",2011-03-14,C00007713,8,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Water Recirculation Pump,GREY WOLF BUILDERS INC,"$3,068.69",2011-03-14,C00007713,9,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Custodial Services for Ross River EMR District,NELSON SISSON O/A,"$8,100.00",2011-04-01,C00007863,1,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
Services to Yukon Child Care Board,SOPHIE B PARTRIDGE O/A,"$1,600.00",2011-04-01,C00007864,2,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Contract to install 1PH Service YTG Grizzly Valley,YUKON ELECTRICAL COMPANY,$0.00,2011-04-27,C00008549,1,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Contract to install 1PH Service YTG Grizzly Valley,YUKON ELECTRICAL COMPANY,"$319,635.85",2011-04-27,C00008549,2,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Hwy Construction km 59.7-66.7 Campbell Hwy #4,COBALT CONSTRUCTION INC,"$49,214.77",2011-04-20,C00008474,2,,,Highways & Public Works,Construction,Request for Bids,Watson Lake,P,2012-13
Hwy Construction km 59.7-66.7 Campbell Hwy #4,COBALT CONSTRUCTION INC,"$94,600.00",2011-04-20,C00008474,3,,,Highways & Public Works,Construction,Request for Bids,Watson Lake,P,2012-13
Hwy Construction km 59.7-66.7 Campbell Hwy #4,COBALT CONSTRUCTION INC,"$6,136.73",2011-04-20,C00008474,4,,,Highways & Public Works,Construction,Request for Bids,Watson Lake,P,2012-13
Hwy Construction km 59.7-66.7 Campbell Hwy #4,COBALT CONSTRUCTION INC,"$128,046.00",2011-04-20,C00008474,5,,,Highways & Public Works,Construction,Request for Bids,Watson Lake,P,2012-13
Poundkeeper and Livestock Services,PAUL HEYNEN,"$2,553.00",2011-04-01,C00008387,1,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,I,2012-13
Poundskeeper and Livestock Services,PAUL HEYNEN,"$2,361.00",2011-04-01,C00008388,1,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,I,2012-13
Poundskeeper & Livestock Services,PAUL HEYNEN,"$3,247.00",2011-04-01,C00008389,1,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,I,2012-13
Poundskeeper and Livestock Servcies Renewal,PAUL HEYNEN,"$6,021.00",2011-04-01,C00008390,4,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,P,2012-13
Poundskeeper and Livestock Servcies Renewal,PAUL HEYNEN,"$1,800.00",2011-04-01,C00008390,5,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,P,2012-13
Independent Medical Evaluations,MEDISYS CORPORATE HEALTH LP,"$15,000.00",2011-04-01,C00008429,2,,,Public Service Commission,Service,Value Driven,Other-Non Yukon,D,2012-13
Substance Abuse Assessments,DONALD G HEDGES MD,"$16,101.00",2011-04-01,C00008430,1,,,Public Service Commission,Service,Value Driven,Other-Non Yukon,D,2012-13
Providing technical support and advice,STEVEJAN CONSULTANTS,$0.00,2011-04-01,C00008341,1,,0690-30-RFP-AAMB-08-001,Environment,General Consulting,Price Driven,Whitehorse,P,2012-13
Providing technical support and advice,STEVEJAN CONSULTANTS,"$20,000.00",2011-04-01,C00008341,2,,0690-30-RFP-AAMB-08-001,Environment,General Consulting,Price Driven,Whitehorse,P,2012-13
Provide technical advice on Yukon mining projects,SLR CONSULTING (CANADA) LTD,$0.00,2011-04-01,C00008344,1,,,Environment,General Consulting,Value Driven,Whitehorse,D,2012-13
Provide technical advice on Yukon mining projects,SLR CONSULTING (CANADA) LTD,"$6,000.00",2011-04-01,C00008344,2,,,Environment,General Consulting,Value Driven,Whitehorse,D,2012-13
Admin Support Services Education Appeal Tribunal,DEANA LEMKE O/A,"$5,500.00",2010-09-15,C00008351,1,,,Education,Service,Value Driven,Whitehorse,D,2012-13
Advertising Services,LEAF MARKETING & COORDINATION,"$11,803.40",2011-04-20,C00008446,3,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Whistle Bend Materials Testing & Quality Control,EBA ENGINEERING,"$334,311.00",2011-04-25,C00008400,2,,,Community Services,Service,Value Driven,Whitehorse,P,2012-13
Provide youth assessments for hte YHRTP,DR. KARL M WILLIAMS INC,"$50,000.00",2011-04-01,C00008401,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Deveop a Local Area Plan for Marsh Lake Community,ANGELA WALKLEY O/A,$0.00,2011-04-08,C00008460,1,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,I,2012-13
Deveop a Local Area Plan for Marsh Lake Community,ANGELA WALKLEY O/A,"$16,400.00",2011-04-08,C00008460,2,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,I,2012-13
Obstetrical & Gynaecological services,DR MICHAEL BENDALL,"$16,796.43",2009-07-01,SS09153614-59391,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Obstetrical & Gynaecological services,DR WAYNE MACNICOL,"$16,796.40",2009-07-01,SS09153615-59377,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Provide embroidery services to YEMS,COMPUTEC EMBROIDERY INC,-$292.00,2011-04-01,C00008319,1,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Provision of CARS Services at the Burwash Aerodrome,MARY BLAHITKA O/A,"$6,106.17",2009-09-01,SS09550511-58522,1,,,Highways & Public Works,Service,Value Driven,Burwash Landing,P,2012-13
Provison of Airport Maintainer Services Burwash Aerodrome,MARY BLAHITKA O/A,$329.50,2009-09-01,SS09550512-58350,1,,,Highways & Public Works,Service,Value Driven,Burwash Landing,P,2012-13
Internal Trade Support Services,JEAN PIERRE FLAMENT O/A,-$325.31,2011-04-01,C00008110,2,,,Economic Development,General Consulting,Price Driven,Whitehorse,P,2012-13
Internal Trade Support Services,JEAN PIERRE FLAMENT O/A,"-$20,650.00",2011-04-01,C00008110,3,,,Economic Development,General Consulting,Price Driven,Whitehorse,P,2012-13
Provision of CARS Services Beaver Creek,PHILLIP SPOONER O/A,"$3,743.10",2009-04-01,SS09550504-58020,1,,,Highways & Public Works,Service,Value Driven,Beaver Creek,P,2012-13
Monitoring Fire Alarms,CITY OF DAWSON,"$3,600.00",2011-04-01,C00008212,1,,,Highways & Public Works,Service,Value Driven,Dawson City,D,2012-13
Provision AMSC Services Beaver Creek,PHILLIP SPOONER O/A,$311.93,2009-04-01,SS09550502-58002,1,,,Highways & Public Works,Service,Value Driven,Beaver Creek,P,2012-13
Advertising design and placement services,DIANNE VILLESECHE,"$12,205.56",2011-04-11,C00008267,1,,4101,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Translation Services,LINA TZECKAS,-$43.09,2011-04-07,C00008172,1,,2010-11-001,Highways & Public Works,Service,Value Driven,Other-Non Yukon,P,2012-13
Provision of CARS Services Faro,SYLVAIN RAPATEL O/A,"$6,106.17",2009-09-01,SS09550513-58590,1,,,Highways & Public Works,Service,Value Driven,Faro,P,2012-13
classification consultation to Hay Plan,HAY GROUP LTD,$0.00,2011-04-01,C00008279,1,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2012-13
Provision AMSC Services Faro Aerdrome,SYLVAIN RAPATEL O/A,$380.50,2009-08-01,SS09550514-58556,1,,,Highways & Public Works,Service,Value Driven,Faro,P,2012-13
Training and Meeting Place,VILLAGE OF TESLIN,-$600.00,2011-04-01,C00008124,1,,,Community Services,Service,Value Driven,Teslin,D,2012-13
Court Circuit Hall Rental,SELKIRK FIRST NATION,"$1,200.00",2011-04-01,C00008235,1,,,Justice,Service,Value Driven,Pelly Crossing,D,2012-13
Contract for electrical repairs in E.S.Building,39957 YUKON INC O/A,"$2,398.09",2011-04-14,C00008306,1,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Provision of CARS Services Mayo Aerodrome,SHAUNA HEASLEY O/A,"$14,885.80",2009-04-01,SS09550503-58021,1,,,Highways & Public Works,Service,Value Driven,Mayo,P,2012-13
Provison of Airport Maintainer Services Mayo Aerodrome,SHAUNA HEASLEY O/A,$465.18,2009-04-01,SS09550501-58106,1,,,Highways & Public Works,Service,Value Driven,Mayo,P,2012-13
Regulator Services Dawson Callison Expansion,NORTHLAND EARTH & WATER,$0.00,2011-04-11,C00008256,1,,,Community Services,Service,Value Driven,Dawson City,D,2012-13
Weekly garbage,MAYO TAXI & BUS SERVICES,"$2,080.00",2011-04-01,C00008898,1,,,Highways & Public Works,Service,Value Driven,Mayo,D,2012-13
Tourism Sales Contractor German Speaking Europe,BERGOLD PROMOTIONS CORP,-$81.76,2011-06-01,C00008849,1,,,Tourism And Culture,Service,Request for Proposals,Whitehorse,P,2012-13
Vehicle maintenance and repair as and when needed,NORMAN V LECLER O/A,$24.94,2011-04-01,C00008789,15,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Vehicle maintenance and repair as and when needed,NORMAN V LECLER O/A,-$95.00,2011-04-01,C00008789,16,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Service & repair of electronic medical equipment,ACELOGIC TECHNICAL SERVICES,"-$1,328.13",2011-04-01,C00008972,1,,,Community Services,Service,Value Driven,Other,D,2012-13
"Vegetation Control, Klondike Hwy, Stewart Crossing",TOBIAS & MONICA GRAF O/A,$0.00,2011-06-01,C00008917,3,,616,Highways & Public Works,Equipment Rental,Price Driven,Other,P,2012-13
"Vegetation Control, Klondike Hwy, Stewart Crossing",TOBIAS & MONICA GRAF O/A,$0.00,2011-06-01,C00008917,4,,616,Highways & Public Works,Equipment Rental,Price Driven,Other,P,2012-13
"Vegetation Control, Klondike Hwy, Stewart Crossing",TOBIAS & MONICA GRAF O/A,$0.00,2011-06-01,C00008917,5,,616,Highways & Public Works,Equipment Rental,Price Driven,Other,P,2012-13
"Vegetation Control, Klondike Hwy, Stewart Crossing",TOBIAS & MONICA GRAF O/A,"$33,128.00",2011-06-01,C00008917,6,,616,Highways & Public Works,Equipment Rental,Price Driven,Other,P,2012-13
"Database Maintenance, Support & Hosting",38593 YUKON INC O/A,"-$1,805.11",2011-05-10,C00008803,1,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
PA System Replacement,5107 N.W.T LTD O/A,$0.00,2011-04-01,C00008809,2,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
"Profile & auditing, articulation",AASMAN DESIGN INC,"$7,908.60",2011-05-09,C00008934,4,,4102,Education,Service,Value Driven,Whitehorse,P,2012-13
Provide hair & beauty apprenticeship program,SALON CENTRE YUKON LTD,"-$1,500.00",2011-05-16,C00008888,1,,,Education,Service,Value Driven,Whitehorse,D,2012-13
Culvert replace km 56.3 & hwy construction km 56.2,COBALT CONSTRUCTION INC,"$49,495.75",2011-05-13,C00008939,1,,,Highways & Public Works,Construction,Price Driven,Watson Lake,P,2012-13
Advertising & community engagement estimates,GUINIVEVE LALENA O/A,"$2,000.00",2011-05-12,C00008836,2,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Advertising & community engagement estimates,GUINIVEVE LALENA O/A,$0.00,2011-05-12,C00008836,3,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Advertising & community engagement estimates,GUINIVEVE LALENA O/A,$0.00,2011-05-12,C00008836,4,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Culvert replace km 56.3 & hwy construction km 56.2,COBALT CONSTRUCTION INC,"-$87,383.44",2011-05-13,C00008939,2,,,Highways & Public Works,Construction,Price Driven,Watson Lake,P,2012-13
Dawson callison subdivision environmental monitor,EDI-ENVIRONMENTAL DYNAMICS INC,$0.00,2011-04-26,C00008554,1,,,Community Services,Service,Value Driven,Dawson City,D,2012-13
landfill maintenance @ Marsh Lake Landfill,BRYAN BUCHANAN,"$20,000.00",2011-04-26,C00008617,1,,,Community Services,Service,Price Driven,Whitehorse,P,2012-13
First Nation Fire Contract,12028 YUKON INC,$0.00,2011-05-02,C00008673,1,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
landfill maintenance @ Marsh Lake Landfill,BRYAN BUCHANAN,"$5,850.00",2011-04-26,C00008617,2,,,Community Services,Service,Price Driven,Other,P,2012-13
Grizzly Valley Subdivision Road Construction,COBALT CONSTRUCTION INC,$0.00,2011-05-05,C00008748,2,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Grizzly Valley Subdivision Road Construction,COBALT CONSTRUCTION INC,"$107,625.00",2011-05-05,C00008748,3,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Grizzly Valley Subdivision Road Construction,COBALT CONSTRUCTION INC,"$448,925.00",2011-05-05,C00008748,4,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Range Road Watermain Extension & McIntyre Creek Crossing,NORCOPE ENTERPRISES LTD,$0.00,2011-05-05,C00008749,1,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Range Road Watermain Extension & McIntyre Creek Crossing,NORCOPE ENTERPRISES LTD,"-$14,847.89",2011-05-05,C00008749,2,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Professional Services - FH Collins Replacement,BTY QUANTITY SURVEYORS BC LTD,$0.00,2011-04-19,C00008584,1,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,P,2012-13
Professional Services - FH Collins Replacement,BTY QUANTITY SURVEYORS BC LTD,"$3,800.00",2011-04-19,C00008584,2,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,P,2012-13
Horticultural Services to YTG Buildings,ROSE O'RILEY BRENNAN O/A,"$13,868.00",2011-05-01,C00008643,1,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2012-13
Professional Services - FH Collins Replacement,BTY QUANTITY SURVEYORS BC LTD,$0.00,2011-04-19,C00008584,3,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,P,2012-13
To provide Fleet Vehicle Agency with rental vehicles,BUDGET RENT A CAR,"$315,000.00",2011-03-07,C00008587,Original,,SY11-4106,Highways & Public Works,Vehicle Rental,Price Driven,Whitehorse,P,2012-13
To provide Fleet Vehicle Agency with rental vehicles,BUDGET RENT A CAR,"-$2,232.75",2011-03-07,C00008587,1,,SY11-4106,Highways & Public Works,Vehicle Rental,Price Driven,Whitehorse,P,2012-13
Laboratory ECG Testing Services,ST PAUL'S HOSPITAL,$865.45,2011-04-01,C00008725,1,,,Health & Social Services,Service,Value Driven,Other-Non Yukon,D,2012-13
North Yukon Business Advisory Outreach,GEORGE GOTTSCHALL O/A,$0.00,2011-06-01,C00009355,1,,,Economic Development,Service,Request for Proposals,Other,P,2012-13
North Yukon Business Advisory Outreach,GEORGE GOTTSCHALL O/A,$0.00,2011-06-01,C00009355,2,,,Economic Development,Service,Request for Proposals,Other,P,2012-13
Maintenance at Carcross/Tagish Landfill,BRYAN BUCHANAN,"$1,120.00",2011-06-06,C00009256,1,,,Community Services,Service,Price Driven,Other,P,2012-13
Geotechnical Inspection of MN Tailings Dam,EBA ENGINEERING,"$3,000.00",2011-06-08,C00009360,3,,AAMB-11-001-EBA,"Energy, Mines & Resources",General Consulting,Value Driven,Other,P,2012-13
Upgrades and Modifications to 511 Road System,TELENIUM INC,$0.00,2011-06-01,C00009319,2,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Development of the Yukon Water Board Online Registry,38593 YUKON INC O/A,$0.00,2011-06-24,C00009372,1,,,Executive Council Office,Service,Value Driven,Whitehorse,D,2012-13
Design & place CDF advertising,DIANNE VILLESECHE,"$5,000.00",2011-05-02,C00009272,1,,,Economic Development,Service,Value Driven,Whitehorse,D,2012-13
Design & place CDF advertising,DIANNE VILLESECHE,"$1,482.97",2011-05-02,C00009272,2,,,Economic Development,Service,Value Driven,Whitehorse,D,2012-13
Development of the Yukon Water Board Online Registry,38593 YUKON INC O/A,"$10,000.00",2011-06-24,C00009372,2,,,Executive Council Office,Service,Value Driven,Whitehorse,D,2012-13
Development of the Yukon Water Board Online Registry,38593 YUKON INC O/A,"$16,000.00",2011-06-24,C00009372,3,,,Executive Council Office,Service,Value Driven,Whitehorse,D,2012-13
Engineering Services Teslin Water System Upgrade,AECOM CANADA LTD,$0.00,2011-06-07,C00009279,1,,,Community Services,Engineering/Architectural,Value Driven,Teslin,D,2012-13
Engineering Services Teslin Water System Upgrade,AECOM CANADA LTD,"$23,322.00",2011-06-07,C00009279,2,,,Community Services,Engineering/Architectural,Value Driven,Teslin,D,2012-13
YESSA review Communications,AMANDA LESLIE,$0.00,2011-06-10,C00009337,3,,,Executive Council Office,Service,Value Driven,Whitehorse,D,2012-13
Warehouse Deliveries,10818 YUKON LTD O/A,"$10,000.00",2011-04-01,C00009288,3,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2012-13
Warehouse Deliveries,10818 YUKON LTD O/A,"$2,000.00",2011-04-01,C00009288,4,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2012-13
Shakwak Highway Project WMAP km 116-137 Haines Rd,SKOOKUM ASPHALT LTD,$0.00,2011-06-08,C00009393,1,,,Highways & Public Works,Construction,Price Driven,Haines Junction,P,2012-13
Shakwak Highway Project WMAP km 116-137 Haines Rd,SKOOKUM ASPHALT LTD,"-$148,570.50",2011-06-08,C00009393,2,,,Highways & Public Works,Construction,Price Driven,Haines Junction,P,2012-13
Desing/Engineering services - grader station,BOGE & BOGE (1980) LTD,$0.00,2011-06-01,C00009168,5,,,Highways & Public Works,Service,Value Driven,Ross River,D,2012-13
Desing/Engineering services - grader station,BOGE & BOGE (1980) LTD,$0.00,2011-06-01,C00009168,6,,,Highways & Public Works,Service,Value Driven,Ross River,D,2012-13
Develop Framework Document,MARY CARDINAL COLLINS,$0.00,2011-04-01,C00009052,1,,,Education,Service,Value Driven,Whitehorse,D,2012-13
Develop Framework Document,MARY CARDINAL COLLINS,$0.00,2011-04-01,C00009052,2,,,Education,Service,Value Driven,Whitehorse,D,2012-13
Alaska Highway Corridor Road Safety Audit,DE LEUR ROAD SAFETY CONSULTING,$0.00,2011-06-03,C00009177,1,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Pest control services for Whitehorse EMS Station,PCO SERVICES CORPORATION,$50.00,2011-05-31,C00009138,1,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Food Services for Thomson Centre,YUKON HOSPITAL CORPORATION,"$249,162.00",2011-07-11,C00009145,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Excutive Secretary Services for Human Rights Board,DEANA LEMKE O/A,"$1,487.50",2011-04-01,C00009191,1,,,Justice,Service,Value Driven,Whitehorse,D,2012-13
