Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Facilitation of 2 Mentorship Workshops & Revisited sessions,LIFEDIRECTIONS COACH &,$0.00,2012-09-24,C00014703,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Removal of sludge from sewage lagoon,NORTHWEST VACUUM SERVICES LTD,"$14,000.00",2012-07-27,C00014704,Original,,,Community Services,Service,Value Driven,Carcross,D,2012-13
Fuel drum haul,GREAT RIVER AVIATION LTD.,"$1,100.00",2012-07-16,C00014544,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Dawson City,D,2012-13
Fuel drum haul,GREAT RIVER AVIATION LTD.,$220.00,2012-07-16,C00014544,1,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Dawson City,D,2012-13
Provide winter maintenance Tantalus School Bldg 6546,COREY SCOTT MAYER O/A,"$3,000.00",2012-04-01,C00014546,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Translation of YG documents,LES TRADUCTIONS QUICKSILVER,"$1,000.00",2012-07-17,C00014547,Original,,2010-11-001,Highways & Public Works,Service,Value Driven,Other-Non Yukon,P,2012-13
Sheep and goat survey,TRANS NORTH TURBO AIR LTD,"$25,688.00",2012-07-19,C00014548,Original,,,Environment,Aircraft Charter,Price Driven,Ross River,I,2012-13
Geotechnical Inspection and Performance Monitoring,ASSOCIATED ENGINEERING,$0.00,2012-07-18,C00014589,2,,AAMB-11-001-AE,"Energy, Mines & Resources",Engineering/Architectural,Value Driven,Other,P,2012-13
Repair and Repaint Offices,PAUL W WADSWORTH O/A,"$2,250.00",2012-07-19,C00014590,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Provide cleaning services Bldg 1229,EVANGELINE RAMIREZ O/A,"$5,980.00",2012-07-01,C00014591,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Inspections,TRANS NORTH TURBO AIR LTD,"$7,000.00",2012-07-16,C00014592,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Carmacks,D,2012-13
Inspections,TRANS NORTH TURBO AIR LTD,"$6,000.00",2012-07-17,C00014593,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Beaver Creek,D,2012-13
Laboratory services,BCBHEC ANIMAL LAB,"$1,500.00",2012-07-25,C00014644,Original,,,Environment,Service,Value Driven,Other-Non Yukon,D,2012-13
Provide Equipment for Marsh Lake Flooding,LLOYD ATKINSON O/A,"$10,000.00",2012-07-24,C00014645,Original,,SR12-046,Highways & Public Works,Equipment Rental,Value Driven,Whitehorse,D,2012-13
Load sand bags for Marsh Lake Flood preperation,BUCHANAN GENERAL CONTRACTING,"$10,000.00",2012-07-27,C00014646,Original,,SR12-041,Highways & Public Works,Equipment Rental,Price Driven,Whitehorse,P,2012-13
Destruction Bay: Legal Re-survey of Lots 3 to 6 & 8  to 14,CHALLENGER GEOMATICS LTD,"$14,850.00",2012-07-20,C00014647,Original,,,Community Services,Service,Price Driven,Destruction Bay,I,2012-13
Sludge Eduction of Carcross Sewage Lagoon,BUCHANAN GENERAL CONTRACTING,"$7,200.00",2012-07-27,C00014705,Original,,,Community Services,Service,Value Driven,Carcross,D,2012-13
SSP - Focused Conversation workshop,ICA ASSOCIATES INC,"$23,176.00",2012-12-03,C00014706,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2012-13
"Provide cleaning services Bldgs 1975, 1973, 1988",MARGARITA ELIZABETH & AURORA,"$26,427.50",2012-07-16,C00014707,Original,,,Highways & Public Works,Service,Request for Bids,Whitehorse,I,2012-13
Ice patch monitoring,HELI DYNAMICS LTD,"$12,750.00",2012-07-23,C00014549,Original,,,Tourism And Culture,Aircraft Charter,Price Driven,Whitehorse,I,2012-13
Provide a physician's perspective on framework,DR ANNE WILLIAMS,"$3,500.00",2012-04-01,C00014550,Original,,,Justice,Service,Value Driven,Whitehorse,D,2012-13
Removal & Disposal of Garbage Burner and Water Tank,CHARLES EIKLAND SR O/A,"$9,960.00",2012-07-20,C00014552,Original,,,Community Services,Service,Value Driven,Burwash Landing,D,2012-13
Obstetrical and Gynaecological Services to Yukon Residents,DR WAYNE MACNICOL,"$1,589,404.50",2012-07-01,C00014553,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Air Photography Mapping Project,CHALLENGER GEOMATICS LTD,"$24,200.00",2012-06-01,C00014594,Original,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Geotechnical Testing,INUKSHUK PLANNING &,"$8,550.00",2012-06-01,C00014595,Original,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Bison capture,TRANS NORTH TURBO AIR LTD,"$47,250.00",2012-07-21,C00014596,Original,,,Environment,Aircraft Charter,Price Driven,Whitehorse,I,2012-13
Translation of YG documents,LUCIE LEBLANC,$119.60,2012-07-20,C00014597,Original,,2010-11-001,Highways & Public Works,Service,Value Driven,Other-Non Yukon,P,2012-13
Destruction Bay: Legal Re-survey of Lots 3 to 6 & 8  to 14,CHALLENGER GEOMATICS LTD,$0.00,2012-07-20,C00014647,1,,,Community Services,Service,Price Driven,Destruction Bay,I,2012-13
Research and writing of a repatriation discussion paper.,CLARE DAITCH O/A,"$9,000.00",2012-08-01,C00014648,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
Research and writing of a repatriation discussion paper.,CLARE DAITCH O/A,$0.00,2012-08-01,C00014648,1,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
Analysis of Freshwater Benthic Stream Samples,CORDILLERA CONSULTING,"$22,650.00",2012-08-01,C00014651,Original,,,"Energy, Mines & Resources",Service,Value Driven,Other-Non Yukon,D,2012-13
Development of Evaluation Framework,POSITIVE OUTCOMES CONSULTING,"$14,000.00",2012-07-30,C00014708,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Obstetrical and Gynaecological Services to Yukon Residents,DR MICHAEL BENDALL,"$1,589,404.50",2012-07-01,C00014554,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Provision of Security at Upper Liard Flood area,NICOLE (NICKI) LEE BOWES,"$3,500.00",2012-07-21,C00014598,Original,,,Community Services,Service,Value Driven,Watson Lake,D,2012-13
Provision of Security at Upper Liard Flood area,A LORRAINE VAN DER MEER,"$3,500.00",2012-07-21,C00014599,Original,,,Community Services,Service,Value Driven,Watson Lake,D,2012-13
Rooms and Meals for Dawson City Music Festival.,DAWSON CITY HOTELS LIMITED O/A,"$3,000.00",2012-07-20,C00014600,Original,,,Tourism And Culture,Service,Value Driven,Dawson City,D,2012-13
Removal of Burn Vessel at Ross River Solid Waste Facility,JAMES A CHAPMAN O/A,"$3,500.00",2012-07-24,C00014652,Original,,,Community Services,Service,Value Driven,Ross River,D,2012-13
Heating fuel supply for mBOS testing,VUNTUT GWITCHIN FIRST NATION,"$8,000.00",2012-07-25,C00014653,Original,,,Community Services,Service,Price Driven,Old Crow,D,2012-13
"Install plywood subfloor 113 Industrial Road, Bldg 1215",BLAIR PIGEON O/A,"$4,620.00",2012-07-11,C00014654,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
"Finish work on windows and doors, Bldg 1215.",HENRY BAUERNFEIND,"$6,350.00",2012-07-17,C00014655,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
"Provide cleaning services, Bldgs 1287, 1972, 1925",ROMEO & ELIZABETH GAYANGOS O/A,"$25,330.00",2012-07-16,C00014709,Original,,,Highways & Public Works,Service,Request for Bids,Whitehorse,I,2012-13
Household Relocation for Morgan Douglas-Alexander,PACIFIC NORTHWEST MOVING,"$10,000.00",2012-06-12,C00014710,Original,,,Education,Service,Price Driven,Whitehorse,I,2012-13
Grizzly DNA grid,TRANS NORTH TURBO AIR LTD,"$9,800.00",2012-07-19,C00014555,Original,,,Environment,Aircraft Charter,Price Driven,Whitehorse,D,2012-13
Effect Repairs to Watson Lake VIC Deck,ODIN HOUGEN CONTRACTING LTD,"$9,360.00",2012-07-12,C00014556,Original,,,Highways & Public Works,Construction,Price Driven,Watson Lake,I,2012-13
Replace Synchronized Time System and Teslin School,SPECTRUM SECURITY SOUND LTD,"$14,424.00",2012-07-10,C00014557,Original,,,Highways & Public Works,Construction,Price Driven,Whitehorse,I,2012-13
Install meteorological station,FIREWEED HELICOPTERS LTD,"$3,000.00",2012-07-26,C00014601,Original,,,Environment,Aircraft Charter,Price Driven,Dawson City,D,2012-13
Install meteorological station,FIREWEED HELICOPTERS LTD,$0.00,2012-07-26,C00014601,1,,,Environment,Aircraft Charter,Price Driven,Dawson City,D,2012-13
Physician Services  for the Town of Watson Lake,(DR) BENJAMIN JAMES LEWIS,"$17,014.40",2012-08-17,C00014602,Original,,,Health & Social Services,Service,Value Driven,Watson Lake,D,2012-13
WGH Psychiatric Coverage during Weekends & Holidays,DR ARMANDO SERNA HEREDIA,"$21,085.00",2012-07-01,C00014603,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
LSB Training Policy,ZEB BROWN,"$5,000.00",2012-07-13,C00014606,Original,,,Justice,Service,Value Driven,Whitehorse,D,2012-13
Assist with Cornoer's office,TRANS NORTH TURBO AIR LTD,"$1,869.00",2012-07-10,C00014656,Original,,,Justice,Aircraft Charter,Price Driven,Whitehorse,D,2012-13
Rental of two dump trucks,11808 YUKON INC,"$75,000.00",2012-07-19,C00014657,Original,,SR12 - 008,Highways & Public Works,Equipment Rental,Price Driven,Ross River,P,2012-13
Rental of two dump trucks,11808 YUKON INC,$0.00,2012-07-19,C00014657,1,,SR12 - 008,Highways & Public Works,Equipment Rental,Price Driven,Ross River,P,2012-13
Rental of two dump trucks,CLIFFORD MCLEOD O/A,"$75,000.00",2012-07-19,C00014658,Original,,SR12 - 019,Highways & Public Works,Equipment Rental,Price Driven,Ross River,P,2012-13
Rental of two dump trucks,CLIFFORD MCLEOD O/A,"$25,000.00",2012-07-19,C00014658,1,,SR12 - 019,Highways & Public Works,Equipment Rental,Price Driven,Ross River,P,2012-13
